source,target,proximity
14580,14614,438
14585,14614,1
14586,14614,85
14589,14614,28
14590,14614,5
14592,14614,1
14604,14614,29
14605,14614,72
14606,14614,160
14607,14614,248
14608,14614,95
14609,14614,381
14610,14614,149
14611,14614,109
14612,14614,272
14613,14614,98
14615,14614,129
14616,14614,228
14617,14614,241
14618,14614,200
14619,14614,104
14620,14614,195
14621,14614,199
14622,14614,100
14623,14614,115
14624,14614,264
14625,14614,92
14626,14614,227
14627,14614,1
14836,14614,1
14837,14614,2
13143,14618,8
13146,14618,9
14098,14618,4
14103,14618,22
14105,14618,1
14125,14618,7
14411,14618,21
14414,14618,63
14416,14618,21
14418,14618,2
14420,14618,117
14422,14618,18
14423,14618,33
14424,14618,132
14425,14618,117
14428,14618,74
14432,14618,29
14433,14618,5
14435,14618,20
14437,14618,28
14441,14618,1
14445,14618,134
14450,14618,665
14454,14618,25
14456,14618,46
14464,14618,43
14466,14618,7
14467,14618,152
14468,14618,161
14469,14618,36
14470,14618,32
14471,14618,12
14472,14618,111
14476,14618,11
14477,14618,3
14478,14618,2
14480,14618,10
14481,14618,7
14482,14618,33
14485,14618,37
14487,14618,36
14489,14618,31
14502,14618,108
14504,14618,8
14505,14618,32
14506,14618,24
14510,14618,23
14511,14618,1
14512,14618,13
14513,14618,56
14514,14618,60
14516,14618,8
14517,14618,4
14519,14618,86
14522,14618,61
14525,14618,5
14526,14618,312
14527,14618,11
14532,14618,15
14533,14618,4
14534,14618,672
14543,14618,45
14544,14618,4
14546,14618,49
14548,14618,20
14551,14618,26
14555,14618,3
14559,14618,145
14560,14618,14
14561,14618,10
14564,14618,183
14568,14618,57
14571,14618,6
14572,14618,6
14580,14618,683
14585,14618,1
14586,14618,158
14589,14618,43
14590,14618,5
14604,14618,19
14605,14618,94
14606,14618,269
14607,14618,253
14608,14618,100
14609,14618,553
14610,14618,315
14611,14618,149
14612,14618,392
14613,14618,121
14614,14618,11
14615,14618,188
14616,14618,314
14617,14618,320
14619,14618,174
14620,14618,385
14621,14618,309
14622,14618,195
14623,14618,302
14624,14618,449
14625,14618,179
14626,14618,342
14627,14618,1
14836,14618,2
14837,14618,5
14842,14618,1
13143,14620,3
13146,14620,3
13156,14620,4
14058,14620,14
14098,14620,5
14103,14620,17
14105,14620,2
14125,14620,14
14411,14620,86
14414,14620,204
14416,14620,66
14420,14620,376
14422,14620,39
14423,14620,130
14424,14620,249
14425,14620,198
14428,14620,235
14432,14620,42
14433,14620,16
14435,14620,49
14437,14620,84
14441,14620,2
14445,14620,188
14450,14620,1264
14454,14620,140
14456,14620,68
14462,14620,5
14464,14620,152
14466,14620,30
14467,14620,361
14468,14620,488
14469,14620,92
14470,14620,108
14471,14620,37
14472,14620,278
14475,14620,2
14476,14620,20
14477,14620,13
14478,14620,1
14480,14620,21
14481,14620,15
14482,14620,160
14485,14620,117
14486,14620,5
14487,14620,135
14489,14620,36
14502,14620,251
14504,14620,7
14505,14620,70
14506,14620,45
14510,14620,44
14511,14620,15
14512,14620,30
14513,14620,57
14514,14620,175
14516,14620,6
14517,14620,23
14519,14620,239
14522,14620,131
14525,14620,28
14526,14620,631
14527,14620,16
14532,14620,26
14533,14620,29
14534,14620,1557
14537,14620,1
14539,14620,1
14543,14620,104
14544,14620,9
14546,14620,152
14548,14620,38
14551,14620,34
14555,14620,5
14559,14620,584
14560,14620,45
14561,14620,29
14564,14620,337
14568,14620,136
14571,14620,10
14572,14620,16
14580,14620,1372
14585,14620,3
14586,14620,528
14589,14620,111
14590,14620,13
14604,14620,130
14605,14620,310
14606,14620,846
14607,14620,1010
14608,14620,449
14609,14620,1443
14610,14620,801
14611,14620,623
14612,14620,997
14613,14620,351
14614,14620,68
14615,14620,479
14616,14620,859
14617,14620,727
14618,14620,1424
14619,14620,788
14621,14620,736
14622,14620,386
14623,14620,1140
14624,14620,1426
14625,14620,379
14626,14620,916
14627,14620,438
14822,14620,2
14836,14620,1
14837,14620,5
14842,14620,2
14846,14620,8
14878,14620,2
13143,14623,6
13146,14623,9
13156,14623,2
14058,14623,20
14098,14623,14
14103,14623,29
14105,14623,9
14125,14623,28
14411,14623,108
14414,14623,255
14416,14623,73
14418,14623,5
14420,14623,435
14422,14623,47
14423,14623,139
14424,14623,436
14425,14623,273
14428,14623,372
14432,14623,56
14433,14623,30
14435,14623,73
14437,14623,140
14441,14623,1
14445,14623,252
14450,14623,1298
14454,14623,145
14456,14623,125
14462,14623,6
14464,14623,171
14466,14623,36
14467,14623,644
14468,14623,487
14469,14623,125
14470,14623,148
14471,14623,55
14472,14623,382
14475,14623,8
14476,14623,19
14477,14623,23
14478,14623,2
14479,14623,1
14480,14623,26
14481,14623,33
14482,14623,158
14485,14623,156
14486,14623,2
14487,14623,185
14489,14623,46
14502,14623,266
14504,14623,29
14505,14623,75
14506,14623,56
14507,14623,1
14510,14623,70
14511,14623,23
14512,14623,41
14513,14623,124
14514,14623,258
14516,14623,14
14517,14623,29
14519,14623,273
14522,14623,157
14525,14623,41
14526,14623,625
14527,14623,31
14532,14623,36
14533,14623,30
14534,14623,1277
14537,14623,3
14539,14623,1
14542,14623,3
14543,14623,184
14544,14623,12
14545,14623,1
14546,14623,252
14548,14623,80
14551,14623,47
14555,14623,5
14559,14623,601
14560,14623,36
14561,14623,31
14564,14623,410
14568,14623,147
14571,14623,4
14572,14623,26
14580,14623,1565
14585,14623,2
14586,14623,800
14589,14623,124
14590,14623,22
14592,14623,1
14604,14623,32
14605,14623,310
14606,14623,1005
14607,14623,639
14608,14623,303
14609,14623,1447
14610,14623,479
14611,14623,464
14612,14623,1129
14613,14623,383
14614,14623,22
14615,14623,553
14616,14623,1007
14617,14623,742
14618,14623,935
14619,14623,527
14620,14623,863
14621,14623,800
14622,14623,413
14624,14623,1733
14625,14623,358
14626,14623,1051
14627,14623,4
14822,14623,2
14836,14623,13
14837,14623,8
14842,14623,3
14846,14623,8
14878,14623,1
13143,14625,1
13146,14625,2
13156,14625,1
14058,14625,1
14098,14625,1
14103,14625,3
14125,14625,1
14411,14625,7
14414,14625,16
14416,14625,6
14418,14625,1
14420,14625,43
14422,14625,6
14423,14625,14
14424,14625,85
14425,14625,73
14428,14625,36
14432,14625,17
14433,14625,6
14435,14625,2
14437,14625,8
14445,14625,127
14450,14625,421
14454,14625,14
14456,14625,28
14464,14625,30
14466,14625,5
14467,14625,61
14468,14625,90
14469,14625,17
14470,14625,6
14471,14625,11
14472,14625,45
14475,14625,1
14476,14625,3
14477,14625,2
14478,14625,2
14479,14625,2
14480,14625,1
14481,14625,2
14482,14625,7
14485,14625,15
14486,14625,2
14487,14625,12
14489,14625,7
14502,14625,108
14504,14625,1
14505,14625,32
14506,14625,4
14510,14625,6
14511,14625,1
14512,14625,1
14513,14625,35
14514,14625,38
14516,14625,2
14517,14625,4
14519,14625,108
14522,14625,43
14525,14625,2
14526,14625,275
14527,14625,4
14532,14625,5
14533,14625,1
14534,14625,294
14543,14625,16
14544,14625,1
14546,14625,19
14548,14625,12
14551,14625,14
14559,14625,79
14560,14625,5
14561,14625,7
