source,target,proximity
14030,14226,1
14031,14226,127
14032,14226,144
14033,14226,15
14034,14226,6
14037,14226,2
14043,14226,331
14047,14226,45
14051,14226,362
14052,14226,128
14055,14226,2
14057,14226,48
14059,14226,62
14067,14226,39
14068,14226,132
14069,14226,2
14070,14226,10
14072,14226,276
14075,14226,320
14080,14226,17
14081,14226,4
14085,14226,55
14086,14226,417
14091,14226,3
14092,14226,72
14094,14226,525
14102,14226,9
14105,14226,22
14108,14226,42
14109,14226,4
14111,14226,17
14120,14226,694
14126,14226,3
14127,14226,230
14131,14226,51
14132,14226,53
14139,14226,15
14141,14226,26
14145,14226,2
14150,14226,917
14170,14226,12
14172,14226,17
14174,14226,45
14201,14226,99
14202,14226,49
14203,14226,17
14204,14226,63
14206,14226,181
14207,14226,228
14208,14226,75
14209,14226,68
14210,14226,109
14211,14226,152
14212,14226,77
14213,14226,179
14214,14226,188
14215,14226,444
14216,14226,306
14217,14226,414
14218,14226,137
14219,14226,113
14220,14226,205
14221,14226,967
14222,14226,126
14223,14226,490
14224,14226,412
14225,14226,556
14227,14226,238
14228,14226,395
14261,14226,1
14301,14226,102
14302,14226,1
14303,14226,57
14304,14226,314
14305,14226,127
14001,14228,107
14004,14228,78
14006,14228,47
14008,14228,15
14012,14228,21
14013,14228,6
14025,14228,17
14026,14228,10
14028,14228,20
14030,14228,5
14031,14228,136
14032,14228,135
14033,14228,8
14034,14228,3
14037,14228,1
14043,14228,308
14047,14228,33
14051,14228,388
14052,14228,110
14055,14228,4
14057,14228,34
14059,14228,64
14067,14228,49
14068,14228,135
14069,14228,8
14070,14228,5
14072,14228,273
14075,14228,316
14080,14228,17
14081,14228,2
14085,14228,46
14086,14228,383
14091,14228,6
14092,14228,97
14094,14228,660
14102,14228,4
14105,14228,48
14108,14228,61
14109,14228,12
14111,14228,12
14120,14228,1044
14126,14228,3
14127,14228,244
14131,14228,60
14132,14228,70
14139,14228,14
14141,14228,25
14145,14228,3
14150,14228,825
14169,14228,1
14170,14228,13
14172,14228,39
14174,14228,39
14201,14228,69
14202,14228,40
14203,14228,15
14204,14228,46
14206,14228,152
14207,14228,178
14208,14228,43
14209,14228,64
14210,14228,96
14211,14228,128
14212,14228,74
14213,14228,156
14214,14228,184
14215,14228,324
14216,14228,211
14217,14228,342
14218,14228,112
14219,14228,81
14220,14228,190
14221,14228,845
14222,14228,121
14223,14228,423
14224,14228,390
14225,14228,440
14226,14228,481
14227,14228,292
14261,14228,2
14301,14228,62
14302,14228,1
14303,14228,26
14304,14228,406
14305,14228,110
14001,14261,4
14004,14261,1
14006,14261,1
14013,14261,1
14025,14261,1
14030,14261,1
14031,14261,8
14032,14261,6
14034,14261,1
14043,14261,18
14047,14261,6
14051,14261,16
14052,14261,2
14055,14261,2
14067,14261,2
14068,14261,11
14072,14261,14
14075,14261,28
14086,14261,17
14092,14261,3
14094,14261,35
14108,14261,10
14120,14261,34
14127,14261,11
14131,14261,3
14132,14261,4
14139,14261,1
14141,14261,1
14150,14261,63
14170,14261,1
14174,14261,1
14201,14261,3
14202,14261,6
14203,14261,1
14204,14261,12
14206,14261,15
14207,14261,19
14208,14261,17
14209,14261,13
14210,14261,7
14211,14261,15
14212,14261,10
14213,14261,20
14214,14261,174
14215,14261,67
14216,14261,16
14217,14261,22
14218,14261,4
14220,14261,8
14221,14261,160
14222,14261,10
14223,14261,41
14224,14261,15
14225,14261,23
14226,14261,84
14227,14261,12
14228,14261,71
14301,14261,4
14303,14261,1
14304,14261,7
14305,14261,7
14001,14304,38
14004,14304,26
14006,14304,16
14008,14304,10
14012,14304,21
14013,14304,2
14025,14304,7
14026,14304,1
14028,14304,13
14030,14304,4
14031,14304,30
14032,14304,23
14033,14304,4
14034,14304,6
14037,14304,2
14043,14304,75
14047,14304,10
14051,14304,68
14052,14304,31
14055,14304,3
14057,14304,11
14059,14304,23
14067,14304,37
14068,14304,24
14070,14304,2
14072,14304,377
14075,14304,88
14080,14304,12
14081,14304,3
14085,14304,9
14086,14304,66
14092,14304,364
14094,14304,697
14102,14304,3
14105,14304,33
14108,14304,62
14109,14304,30
14111,14304,3
14120,14304,1007
14126,14304,8
14127,14304,49
14131,14304,128
14132,14304,200
14139,14304,1
14141,14304,9
14145,14304,1
14150,14304,455
14169,14304,2
14170,14304,1
14172,14304,94
14174,14304,187
14201,14304,26
14202,14304,5
14203,14304,1
14204,14304,16
14206,14304,42
14207,14304,75
14208,14304,24
14209,14304,19
14210,14304,36
14211,14304,53
14212,14304,28
14213,14304,60
14214,14304,54
14215,14304,87
14216,14304,48
14217,14304,158
14218,14304,51
14219,14304,16
14220,14304,62
14221,14304,198
14222,14304,28
14223,14304,145
14224,14304,83
14225,14304,96
14226,14304,109
14227,14304,52
14228,14304,110
14261,14304,9
14301,14304,593
14302,14304,6
14303,14304,311
14305,14304,829
14001,14052,53
14004,14052,203
14006,14052,44
14008,14052,1
14012,14052,2
14013,14052,6
14025,14052,42
14026,14052,5
14028,14052,3
14030,14052,37
14031,14052,42
14032,14052,44
14033,14052,75
14034,14052,5
14037,14052,34
14043,14052,174
14047,14052,54
14051,14052,72
14055,14052,18
14057,14052,73
14059,14052,341
14061,14052,2
14067,14052,8
14068,14052,24
14069,14052,25
14070,14052,13
14072,14052,28
14075,14052,418
14080,14052,229
14081,14052,3
14085,14052,61
14086,14052,418
14091,14052,5
14092,14052,17
14094,14052,52
14102,14052,63
14105,14052,7
14108,14052,9
14109,14052,2
14111,14052,24
14120,14052,62
14126,14052,1
14127,14052,487
14131,14052,13
14132,14052,14
14134,14052,3
14139,14052,149
14141,14052,89
14145,14052,57
14150,14052,68
14169,14052,11
14170,14052,152
14172,14052,3
14174,14052,10
14201,14052,14
14202,14052,16
14203,14052,4
14204,14052,13
14206,14052,72
14207,14052,39
14208,14052,15
14209,14052,12
14210,14052,50
14211,14052,39
14212,14052,19
14213,14052,38
14214,14052,37
14215,14052,61
14216,14052,43
14217,14052,40
14218,14052,120
14219,14052,91
14220,14052,76
14221,14052,130
