beta,size,network,seed,realization,times
0.5,0.0,Albany,12010,1,"[79.1, 101.9, 119.5, 147.4, 170.8, 200.2, 223.2, 253.7, 330.6, 1453.7]"
0.5,0.0,Albany,12010,2,"[47.1, 53.1, 69.2, 84.2, 99.1, 121.0, 141.8, 180.0, 316.6, 1650.1]"
0.5,0.0,Albany,12010,3,"[41.7, 55.8, 81.5, 103.9, 125.2, 153.2, 177.0, 209.0, 296.5, 3817.5]"
0.5,0.0,Albany,12010,4,"[36.9, 50.3, 58.4, 67.5, 81.2, 90.6, 128.8, 189.7, 281.5, 1206.1]"
0.5,0.0,Albany,12010,5,"[52.9, 75.9, 90.6, 101.9, 126.2, 150.5, 179.2, 224.1, 291.1, 3078.8]"
0.5,0.0,Albany,12010,6,"[42.4, 53.5, 64.4, 74.5, 94.0, 107.6, 124.9, 153.6, 221.1, 778.6]"
0.5,0.0,Albany,12010,7,"[36.0, 45.1, 61.8, 86.8, 109.3, 147.7, 187.6, 234.7, 280.3, 4168.0]"
0.5,0.0,Albany,12010,8,"[40.4, 56.3, 74.0, 98.9, 119.2, 150.1, 184.3, 221.6, 319.9, 1428.8]"
0.5,0.0,Albany,12010,9,"[51.5, 68.6, 85.3, 114.0, 132.3, 149.4, 173.3, 249.0, 361.6, 3457.5]"
0.5,0.0,Albany,12010,10,"[24.4, 40.8, 58.0, 66.6, 82.0, 108.8, 143.9, 185.6, 263.6, 8060.5]"
0.5,0.0,Albany,12010,11,"[30.9, 44.9, 58.5, 71.8, 97.5, 113.6, 139.3, 159.3, 302.6, 1996.8]"
0.5,0.0,Albany,12010,12,"[24.2, 54.1, 68.7, 82.7, 95.8, 131.1, 158.8, 185.4, 268.2, 7902.5]"
0.5,0.0,Albany,12010,13,"[40.7, 56.2, 68.2, 86.8, 107.9, 147.4, 184.6, 220.8, 382.2, 4381.3]"
0.5,0.0,Albany,12010,14,"[45.5, 64.8, 77.6, 100.2, 115.0, 134.5, 152.8, 172.2, 221.7, 818.0]"
0.5,0.0,Albany,12010,15,"[60.3, 84.8, 105.0, 139.2, 176.7, 201.5, 233.0, 281.4, 347.8, 5259.2]"
0.5,0.0,Albany,12010,16,"[35.1, 43.2, 58.4, 74.9, 101.0, 122.3, 145.7, 181.9, 250.9, 6897.4]"
0.5,0.0,Albany,12010,17,"[48.9, 58.9, 73.7, 86.8, 119.2, 147.5, 182.2, 218.6, 305.3, 976.2]"
0.5,0.0,Albany,12010,18,"[62.0, 81.4, 97.3, 114.4, 127.0, 138.9, 156.0, 212.0, 311.3, 3253.0]"
0.5,0.0,Albany,12010,19,"[77.6, 107.4, 127.5, 138.8, 155.8, 186.4, 206.9, 258.8, 319.8, 1188.1]"
0.5,0.0,Albany,12010,20,"[48.5, 65.0, 74.9, 96.5, 111.4, 146.8, 180.8, 217.5, 279.9, 950.0]"
0.5,0.0,Albany,12010,21,"[26.7, 41.3, 66.7, 81.3, 96.6, 112.4, 147.0, 178.1, 414.2, 2765.0]"
0.5,0.0,Albany,12010,22,"[42.8, 61.9, 74.9, 93.0, 114.9, 131.9, 178.1, 222.8, 295.6, 1952.5]"
0.5,0.0,Albany,12010,23,"[25.6, 33.3, 42.8, 55.7, 83.3, 102.1, 128.8, 168.7, 246.1, 2466.1]"
0.5,0.0,Albany,12010,24,"[33.9, 56.7, 69.5, 79.5, 96.7, 126.5, 164.4, 214.4, 278.4, 1493.4]"
0.5,0.0,Albany,12010,25,"[25.0, 38.5, 46.7, 64.0, 88.5, 106.1, 138.9, 188.5, 237.3, 1758.2]"
0.5,0.0,Albany,12010,26,"[25.2, 32.6, 39.9, 56.3, 83.3, 107.8, 140.2, 187.9, 237.6, 16053.3]"
0.5,0.0,Albany,12010,27,"[32.9, 39.7, 50.8, 63.3, 76.2, 103.7, 129.5, 161.9, 240.9, 4707.3]"
0.5,0.0,Albany,12010,28,"[67.6, 100.9, 119.5, 132.9, 148.0, 160.7, 190.9, 227.0, 321.0, 2909.5]"
0.5,0.0,Albany,12010,29,"[33.9, 40.4, 52.5, 71.0, 111.4, 145.5, 172.4, 201.0, 239.3, 587.3]"
0.5,0.0,Albany,12059,0,"[164.3, 181.1, 188.2, 207.5, 235.4, 274.6, 306.3, 341.0, 410.1, 1505.6]"
0.5,0.0,Albany,12059,1,"[181.2, 194.6, 209.2, 220.3, 228.7, 249.5, 275.6, 310.2, 376.9, 2834.7]"
0.5,0.0,Albany,12059,2,"[82.9, 99.6, 120.9, 140.8, 186.1, 208.1, 226.3, 271.2, 352.3, 1311.1]"
0.5,0.0,Albany,12059,3,"[99.1, 114.9, 134.9, 154.2, 171.1, 189.0, 206.8, 250.3, 344.7, 3301.1]"
0.5,0.0,Albany,12059,4,"[90.2, 100.3, 112.1, 123.1, 147.3, 160.9, 183.2, 224.9, 295.6, 3671.3]"
0.5,0.0,Albany,12059,5,"[121.8, 201.7, 224.6, 236.8, 250.6, 271.1, 308.8, 356.4, 439.1, 2788.4]"
0.5,0.0,Albany,12059,6,"[149.9, 175.5, 207.7, 228.5, 239.7, 267.9, 279.0, 308.6, 397.6, 809.1]"
0.5,0.0,Albany,12059,7,"[176.7, 188.8, 195.4, 204.9, 222.9, 243.2, 266.9, 303.8, 352.2, 1371.6]"
0.5,0.0,Albany,12059,8,"[102.2, 125.9, 138.4, 148.6, 160.8, 175.5, 202.3, 247.4, 348.6, 3103.2]"
0.5,0.0,Albany,12059,9,"[63.6, 80.8, 95.7, 118.4, 150.4, 194.0, 227.3, 253.2, 344.5, 1814.4]"
0.5,0.0,Albany,12059,10,"[139.2, 181.9, 195.0, 206.4, 217.6, 229.2, 260.4, 305.4, 371.2, 1928.9]"
