source,target,proximity
10953,12553,5
10958,12553,18
10963,12553,13
10969,12553,2
10973,12553,13
10975,12553,1
10979,12553,1
10985,12553,1
10987,12553,7
10988,12553,2
10990,12553,43
10992,12553,106
10996,12553,10
10998,12553,9
12504,12553,1
12508,12553,100
12512,12553,1
12514,12553,7
12518,12553,176
12520,12553,90
12522,12553,5
12524,12553,59
12531,12553,7
12533,12553,59
12538,12553,34
12540,12553,10
12542,12553,83
12543,12553,43
12545,12553,3
12546,12553,2
12549,12553,116
12550,12553,1415
12564,12553,8
12566,12553,70
12567,12553,5
12569,12553,28
12570,12553,15
12571,12553,15
12572,12553,16
12575,12553,57
12577,12553,35
12578,12553,7
12580,12553,9
12581,12553,3
12582,12553,6
12583,12553,2
12586,12553,155
12589,12553,231
12590,12553,149
12594,12553,7
12601,12553,117
12603,12553,106
12721,12553,33
12729,12553,9
12746,12553,2
12771,12553,39
12780,12553,2
12785,12553,2
10915,12601,1
10916,12601,9
10917,12601,4
10918,12601,29
10919,12601,5
10921,12601,8
10922,12601,4
10924,12601,28
10925,12601,4
10926,12601,5
10928,12601,4
10930,12601,14
10933,12601,1
10940,12601,126
10941,12601,31
10950,12601,83
10953,12601,2
10958,12601,10
10963,12601,7
10969,12601,1
10973,12601,7
10975,12601,2
10987,12601,5
10988,12601,1
10990,12601,28
10992,12601,28
10996,12601,9
10998,12601,1
12501,12601,26
12504,12601,15
12507,12601,3
12508,12601,389
12512,12601,6
12514,12601,85
12518,12601,51
12520,12601,27
12522,12601,61
12524,12601,373
12527,12601,3
12531,12601,34
12533,12601,707
12538,12601,1065
12540,12601,329
12542,12601,216
12543,12601,21
12545,12601,116
12546,12601,23
12549,12601,59
12550,12601,564
12553,12601,205
12564,12601,66
12566,12601,58
12567,12601,35
12569,12601,624
12570,12601,196
12571,12601,201
12572,12601,256
12574,12601,7
12575,12601,14
12577,12601,14
12578,12601,125
12580,12601,278
12581,12601,44
12582,12601,65
12583,12601,50
12585,12601,34
12586,12601,124
12589,12601,263
12590,12601,1316
12592,12601,13
12594,12601,47
12603,12601,2981
12604,12601,21
12721,12601,18
12729,12601,2
12746,12601,3
12771,12601,25
12780,12601,5
12785,12601,4
10914,12603,1
10916,12603,2
10917,12603,1
10918,12603,5
10919,12603,1
10921,12603,1
10924,12603,17
10928,12603,6
10930,12603,12
10940,12603,52
10941,12603,13
10950,12603,21
10958,12603,3
10963,12603,2
10973,12603,3
10987,12603,3
10988,12603,1
10990,12603,15
10992,12603,5
10996,12603,1
