source,target,metric,proximity,s_value,distance,metric_distance
12054,12822,False,0.0005217845030002609,11.950444944511444,1915.5,160.2869189301394
12054,12850,False,0.00041603106365275275,12.292934814553782,2402.6666666666665,195.45102149424196
12054,12147,False,0.0001575795776867318,26.55714960834676,6345.000000000001,238.91871279761907
12054,12154,False,0.0006943480072212193,6.425780473145175,1439.2,223.9727930349862
12054,12193,False,0.0023675643681562593,2.24854799539132,421.375,187.39871279761905
12054,12833,False,0.0006544502617801048,9.670252123055322,1527.0,157.90694808870643
12054,12168,False,0.0007593014426727411,5.066424728308913,1316.0,259.7492453893139
12054,12025,False,0.0009380863039399625,6.255109162982602,1065.0,170.26081755736774
12054,12028,False,0.0003091667954861648,12.303121244686368,3233.5,262.81948585986066
12054,12035,False,0.00031496062992125983,10.166913878433213,3174.0,312.1891301482268
12054,12041,False,0.001414871875491275,2.161827677532734,705.7777777777777,326.4727272727273
12054,12052,False,0.00014869888475836432,22.350942597849894,6724.0,300.83742421882613
12054,12057,False,0.0003068896731624981,13.273235970429802,3257.5,245.41867614326145
12054,12062,False,0.0004489673750374139,9.454641527164892,2226.3333333333335,235.4751713152398
12054,12074,False,0.0004186435947530003,10.473818262848706,2387.6666666666665,227.96525648491254
12054,12086,False,0.0002947244326554671,18.898567386954046,3392.0,179.48450433028836
12054,12090,False,0.0004130524576621231,10.536035756214128,2420.0,229.6879069124922
12054,12094,False,0.00029099374363451185,13.260647397111612,3435.5,259.07483225504575
12054,12120,False,0.0004762660739799968,8.667924269120368,2098.6666666666665,242.11871279761905
12054,12121,False,0.00043655413271245633,9.085695064274514,2289.6666666666665,252.00787066580853
12054,12134,False,0.0004505857614899369,9.452964833209556,2218.3333333333335,234.67064275326885
12054,12137,False,0.00014551804423748544,28.711153598500587,6871.0,239.31466133631187
12054,12150,False,0.00030665440049064706,7.648647736290837,3260.0,426.2191321130075
12054,12153,False,0.00031109037175299425,10.467048175401594,3213.5,307.01110247605277
12054,12156,False,0.0003089757454039858,12.735378638777028,3235.5,254.0560506107342
12054,12157,False,0.000564334085778781,6.693878548435944,1771.0000000000002,264.5700825291792
12054,12160,False,0.00015723270440251572,21.719296543552773,6359.0,292.7811214902182
12054,12175,False,0.0003161555485298767,10.665751353265195,3161.9999999999995,296.4629396720363
12054,12185,False,0.00014639145073927682,25.35773833852854,6830.0,269.34578742073774
12054,12187,False,0.0001584032947885316,21.227226592907755,6312.0,297.353965313062
12054,12828,False,0.0007430340557275541,8.186996064897194,1344.8333333333335,164.2645632992888
